product_url,image,product_name,mpn,base_price,msrp,brand_name
https://www.ajmadison.com/package/VIRARH239/,"https://assets.ajmadison.com/image/upload/c_pad,f_auto,fl_lossy.progressive,h_300,q_auto,w_300/v1/ajmadison/images/large_no_watermark/66f3dcc75843366f3dcc75843b2.79873591_420cf",2 Piece Kitchen Appliances Package,VIRARH239,"$8,398.00 ","$8,998.00 ",Viking
https://www.ajmadison.com/package/VIRARH236/,"https://assets.ajmadison.com/image/upload/c_pad,f_auto,fl_lossy.progressive,h_300,q_auto,w_300/v1/ajmadison/images/large_no_watermark/66f3dcc52ceaf66f3dcc52ceb81.77898694_fea9f",2 Piece Kitchen Appliances Package,VIRARH236,"$6,928.00 ","$7,418.00 ",Viking
https://www.ajmadison.com/package/VIRARH231/,"https://assets.ajmadison.com/image/upload/c_pad,f_auto,fl_lossy.progressive,h_300,q_auto,w_300/v1/ajmadison/images/large_no_watermark/66f3dcc1ae03c66f3dcc1ae0488.05800159_fb89a",2 Piece Kitchen Appliances Package,VIRARH231,"$7,938.00 ","$8,498.00 ",Viking
https://www.ajmadison.com/package/VIRERADWRH2465/,"https://assets.ajmadison.com/image/upload/c_pad,f_auto,fl_lossy.progressive,h_300,q_auto,w_300/v1/ajmadison/images/large_no_watermark/66fa7b9a8d92b66fa7b9a8d9460.11913177_10865",4 Piece Kitchen Appliances Package,VIRERADWRH2465,"$17,496.00 ","$18,736.00 ",Viking
https://www.ajmadison.com/package/VIRECTWODWRH342/,"https://assets.ajmadison.com/image/upload/c_pad,f_auto,fl_lossy.progressive,h_300,q_auto,w_300/v1/ajmadison/images/large_no_watermark/6311056bd1efe6311056bd1f3f5.08609900_0d6d9.png",5 Piece Kitchen Appliances Package,VIRECTWODWRH342,"$21,385.00 ","$22,895.00 ",Viking
https://www.ajmadison.com/package/VIRECTWODWRH339/,"https://assets.ajmadison.com/image/upload/c_pad,f_auto,fl_lossy.progressive,h_300,q_auto,w_300/v1/ajmadison/images/large_no_watermark/6311055ddff266311055ddff5b5.52937831_50f72.png",5 Piece Kitchen Appliances Package,VIRECTWODWRH339,"$17,145.00 ","$18,365.00 ",Viking
https://www.ajmadison.com/package/VIRECTWODWRH336/,"https://assets.ajmadison.com/image/upload/c_pad,f_auto,fl_lossy.progressive,h_300,q_auto,w_300/v1/ajmadison/images/large_no_watermark/6311055176ba36311055176bca7.31314442_ff81c.png",5 Piece Kitchen Appliances Package,VIRECTWODWRH336,"$15,035.00 ","$16,105.00 ",Viking
https://www.ajmadison.com/package/VIRECTWODWRH333/,"https://assets.ajmadison.com/image/upload/c_pad,f_auto,fl_lossy.progressive,h_300,q_auto,w_300/v1/ajmadison/images/large_no_watermark/631105446867463110544686971.79499648_ec8f1.png",5 Piece Kitchen Appliances Package,VIRECTWODWRH333,"$18,465.00 ","$19,775.00 ",Viking
https://www.ajmadison.com/package/VIRECTWODWRH330/,"https://assets.ajmadison.com/image/upload/c_pad,f_auto,fl_lossy.progressive,h_300,q_auto,w_300/v1/ajmadison/images/large_no_watermark/6311053872ce76311053872d0b7.30570570_a0e96.png",5 Piece Kitchen Appliances Package,VIRECTWODWRH330,"$19,795.00 ","$21,195.00 ",Viking
https://www.ajmadison.com/package/VIRECTWODWRH303/,"https://assets.ajmadison.com/image/upload/c_pad,f_auto,fl_lossy.progressive,h_300,q_auto,w_300/v1/ajmadison/images/large_no_watermark/631104fab179c631104fab17cb8.95553647_4a954.png",5 Piece Kitchen Appliances Package,VIRECTWODWRH303,"$20,975.00 ","$22,455.00 ",Viking
https://www.ajmadison.com/package/VIRECTWODWRH301/,"https://assets.ajmadison.com/image/upload/c_pad,f_auto,fl_lossy.progressive,h_300,q_auto,w_300/v1/ajmadison/images/large_no_watermark/631104f06d345631104f06d37b8.25294630_9f892.png",5 Piece Kitchen Appliances Package,VIRECTWODWRH301,"$20,665.00 ","$22,125.00 ",Viking
